Wandb initialized successfully.
/models/Final_project/Final-Project/gobang/utils.py:350: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  states = torch.tensor(states).to(torch.float32).to(device)
/models/Final_project/Final-Project/gobang/utils.py:360: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  float(torch.mean(torch.sum(policy * torch.log(policy + 1e-6), dim=1)))
Episode 84 / 5000: Actor Loss 0.3528335392475128, Critic Loss
Episode 85 / 5000: Actor Loss 0.13115143775939941, Critic Loss
Episode 86 / 5000: Actor Loss 0.022478589788079262, Critic Loss
Episode 87 / 5000: Actor Loss 0.19105416536331177, Critic Loss
Episode 88 / 5000: Actor Loss 0.12297122180461884, Critic Loss
Episode 89 / 5000: Actor Loss 0.20175820589065552, Critic Loss
Episode 90 / 5000: Actor Loss 0.2361515313386917, Critic Loss
Episode 91 / 5000: Actor Loss 0.12687501311302185, Critic Loss
Episode 92 / 5000: Actor Loss 0.1817028820514679, Critic Loss
Episode 93 / 5000: Actor Loss 0.1581181287765503, Critic Loss
Episode 94 / 5000: Actor Loss 0.22834910452365875, Critic Loss
Episode 95 / 5000: Actor Loss 0.18566319346427917, Critic Loss
Episode 96 / 5000: Actor Loss 0.1773337572813034, Critic Loss
Episode 97 / 5000: Actor Loss 0.12651480734348297, Critic Loss
Episode 98 / 5000: Actor Loss 0.10376594960689545, Critic Loss
Episode 99 / 5000: Actor Loss 0.2370530515909195, Critic Loss
Episode 100 / 5000: Actor Loss 0.33140885829925537, Critic Loss
Episode 101 / 5000: Actor Loss 0.17973119020462036, Critic Loss
Episode 102 / 5000: Actor Loss 0.21762092411518097, Critic Loss
Episode 103 / 5000: Actor Loss 0.11461356282234192, Critic Loss
Episode 104 / 5000: Actor Loss 0.26355719566345215, Critic Loss
Episode 105 / 5000: Actor Loss 0.12554050981998444, Critic Loss
Episode 106 / 5000: Actor Loss 0.11466975510120392, Critic Loss
Episode 107 / 5000: Actor Loss 0.11669133603572845, Critic Loss
Episode 108 / 5000: Actor Loss 0.08728871494531631, Critic Loss
Episode 109 / 5000: Actor Loss 0.18243980407714844, Critic Loss
Episode 110 / 5000: Actor Loss 0.22791136801242828, Critic Loss
Episode 111 / 5000: Actor Loss 0.19151902198791504, Critic Loss
Episode 112 / 5000: Actor Loss 0.20371730625629425, Critic Loss
Episode 113 / 5000: Actor Loss 0.30595076084136963, Critic Loss
Episode 114 / 5000: Actor Loss 0.26588448882102966, Critic Loss
Episode 115 / 5000: Actor Loss 0.161487877368927, Critic Loss
Episode 116 / 5000: Actor Loss 0.278362900018692, Critic Loss
Episode 117 / 5000: Actor Loss 0.13265374302864075, Critic Loss
Episode 118 / 5000: Actor Loss 0.26204508543014526, Critic Loss
Episode 119 / 5000: Actor Loss 0.350360631942749, Critic Loss
Episode 120 / 5000: Actor Loss 0.1517050564289093, Critic Loss
Episode 121 / 5000: Actor Loss 0.1955624371767044, Critic Loss
Episode 122 / 5000: Actor Loss 0.24874696135520935, Critic Loss
Episode 123 / 5000: Actor Loss 0.10948702692985535, Critic Loss
Episode 124 / 5000: Actor Loss 0.11903070658445358, Critic Loss
Episode 125 / 5000: Actor Loss 0.13371901214122772, Critic Loss
Episode 126 / 5000: Actor Loss 0.27195513248443604, Critic Loss
Episode 127 / 5000: Actor Loss 0.0959879532456398, Critic Loss
Episode 128 / 5000: Actor Loss 0.18530187010765076, Critic Loss
Episode 129 / 5000: Actor Loss 0.24163763225078583, Critic Loss
Episode 130 / 5000: Actor Loss 0.31272009015083313, Critic Loss
Episode 131 / 5000: Actor Loss 0.19802002608776093, Critic Loss
Episode 132 / 5000: Actor Loss 0.2657364308834076, Critic Loss
Episode 133 / 5000: Actor Loss 0.36589810252189636, Critic Loss
Episode 134 / 5000: Actor Loss 0.16309767961502075, Critic Loss
Episode 135 / 5000: Actor Loss 0.2312590777873993, Critic Loss
Episode 136 / 5000: Actor Loss 0.35578155517578125, Critic Loss
Episode 137 / 5000: Actor Loss 0.2748941481113434, Critic Loss
Episode 138 / 5000: Actor Loss 0.2213449478149414, Critic Loss
Episode 139 / 5000: Actor Loss 0.17402052879333496, Critic Loss
Traceback (most recent call last):
  File "/models/Final_project/Final-Project/gobang/submission.py", line 527, in <module>
    train_model(agent, num_episodes=num_episodes, checkpoint=checkpoint)
  File "/models/Final_project/Final-Project/gobang/utils.py", line 382, in train_model
    track_loss(actor_records, critic_records, entropy_records)
  File "/models/Final_project/Final-Project/gobang/utils.py", line 286, in track_loss
    ax3.figure.savefig("loss_tracker.png")
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/figure.py", line 3490, in savefig
    self.canvas.print_figure(fname, **kwargs)
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/backend_bases.py", line 2186, in print_figure
    result = print_method(
             ^^^^^^^^^^^^^
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/backend_bases.py", line 2042, in <lambda>
    print_method = functools.wraps(meth)(lambda *args, **kwargs: meth(
                                                                 ^^^^^
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py", line 481, in print_png
    self._print_pil(filename_or_obj, "png", pil_kwargs, metadata)
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py", line 429, in _print_pil
    FigureCanvasAgg.draw(self)
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py", line 382, in draw
    self.figure.draw(self.renderer)
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/artist.py", line 94, in draw_wrapper
    result = draw(artist, renderer, *args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/artist.py", line 71, in draw_wrapper
    return draw(artist, renderer)
           ^^^^^^^^^^^^^^^^^^^^^^
